id,name,type,degree
cc9c6ee3857729e221d3f6de,ServiceNow,Company,20
ce0b6a8e50a6a58526e4c85f,Aeris,Company,13
b823fb02e58a12bdc4c38934,NVIDIA,Company,10
02f50203f5a967ac3ebb42be,Ericsson,Company,9
90b846465e0f4548b38b2912,IoT Accelerator,Technology,8
8d3a4b002f6b4a95d8e04dc9,AI Lighthouse,Technology,5
01b433b22d620a1f8f7803c5,Accenture,Company,5
2b088c1a7495a477c910a268,generative AI,Technology,5
3084ee44d67558f56f4da544,Connected Vehicle Cloud,Technology,4
ace5c8e14fd34ebaf213fc3a,Now Assist for Virtual Agent,Technology,3
096a4c5d3ad45de076781004,Deloitte,Company,2
